date,temperature_2m_above_ground,specific_humidity_2m_above_ground,relative_humidity_2m_above_ground,u_component_of_wind_10m_above_ground,v_component_of_wind_10m_above_ground,precipitable_water_entire_atmosphere,total_precipitation_surface,city,ACond_tavg,AvgSurfT_tavg,CanopInt_tavg,ECanop_tavg,ESoil_tavg,EvapSnow_tavg,Evap_tavg,GWS_tavg,Lwnet_tavg,Qg_tavg,Qh_tavg,Qle_tavg,Qsm_tavg,Qs_tavg,SnowDepth_tavg,SnowT_tavg,SoilMoist_P_tavg,SoilMoist_RZ_tavg,SoilMoist_S_tavg,SWE_tavg,Swnet_tavg,TVeg_tavg,TWS_tavg,year,population,water_availability
2022-01-10,12.347047291577995,0.0077376621111994,82.90345835895987,-0.1347454334891615,-1.4836534785402955,16.54305707756972,,Algeirs,0.0569971713237464,287.9877569834391,0.0260654701618477,3.970317183643601e-06,9.366359866665638e-06,0.0,1.4366514096764148e-05,664.4468854268391,-8.421998488903045,4.799300537506738,-9.945745674769086,35.435004774729414,0.0,1.2107676478005183e-06,0.0,287.9877569834391,894.0223899841309,229.575519879659,4.785345174868901,0.0,38.708335216840105,1.0298359832461305e-06,894.0484832763673,2022,2854000,28342166993.45001
2022-01-11,11.84222252668472,0.0075899612154108,83.95911381295976,-0.7307823199303094,-1.778566877345453,16.822000516707348,,Algeirs,0.0285375336107487,284.917469406128,0.0226037825224921,2.452637916879515e-06,9.675041591587313e-06,0.0,1.3512594413593127e-05,663.9115570068359,-34.00978048642476,-14.430885446071624,27.784790007273354,33.32881291707356,0.0,1.424351066721859e-07,0.0,284.917469406128,894.888368988037,230.97693996429444,4.75858801205953,0.0,80.6812949180603,1.3849149051263034e-06,894.9111038208009,2022,2854000,28370132442.49736
2022-01-12,11.127797717838332,0.00711400948536,82.38976992764897,-0.1542498044547452,-1.6981954669980417,13.525731622730662,,Algeirs,0.0183700094232335,283.0604058583577,0.0249039103432248,2.7797524808192973e-06,6.843392772755881e-06,0.0,1.0361382669543672e-05,663.406518046061,-39.22047338485718,-12.657973961035411,18.581406521797177,25.55635008017222,0.0,1.8329719561431075e-07,0.0,283.0604058583577,894.1102424621582,230.703732808431,4.728493603070578,0.0,70.69905255635578,7.382375128391534e-07,894.1351509094238,2022,2854000,28344976686.88003
2022-01-13,10.131448113703543,0.0061077972882602,76.65321930273132,-1.4625667104046984,-1.1431688247633638,11.576369339596624,,Algeirs,0.0124027480332491,283.49262924194335,0.0578785960096865,3.626167331087042e-06,4.717628151714355e-06,0.0,8.974783834977039e-06,662.8907201131186,-28.795716778437296,-7.183220597108205,22.33782289822896,22.13630478382111,0.0,4.300201208451426e-07,0.0,283.49262924194335,893.9783355712891,231.08760973612468,4.831697847445805,0.0,66.08910506566366,6.30988866134885e-07,894.0362040201823,2022,2854000,28341768910.057026
2022-01-14,11.102698106024594,0.0061642206498478,71.78873827296613,-1.6604851802011027,-1.3337957039952515,15.509434256545225,,Algeirs,0.0209963985874007,283.8790014902751,0.0338112162038063,1.5115749476990458e-06,5.975844455482122e-06,0.0,9.151326219125622e-06,662.4161397298177,-53.089408699671424,-5.043277617295583,28.24763923486074,22.57174504597982,0.0,2.752104023192221e-08,0.0,283.8790014902751,893.5271102905274,231.1109486262004,4.703698102633159,0.0,98.86472256978352,1.663907045212909e-06,893.5608731587728,2022,2854000,28326359074.213036
2022-01-15,10.217458271169066,0.0061057615109591,74.94877521492471,-1.2510078359470214,-1.4457760948462843,13.226509586286456,,Algeirs,0.0184388039711241,283.5873456319173,0.0045313966654551,8.959824739918077e-08,7.182572433824437e-06,0.0,9.35484891518475e-06,661.9566630045573,-70.23257271448772,-7.677955228090286,20.626861890157063,23.07373442649841,0.0,2.1157307554068676e-09,0.0,283.5873456319173,892.5060755411783,230.54944438934328,4.6607757310072575,0.0,106.2527698834737,2.082678175933476e-06,892.510644785563,2022,2854000,28292311533.55498
2022-01-16,9.336561417894249,0.0057682105116796,75.01264139838287,-1.03579722325539,-0.8942036730526648,9.323265303419822,,Algeirs,0.0119859238465627,282.8474391937256,0.0043250378987674,1.493028099227208e-07,6.67786449829085e-06,0.0,8.718813474691462e-06,661.4759287516276,-67.70574175516765,-9.505950327714284,23.87799209753672,21.50495648384094,0.0,8.620084189734737e-09,0.0,282.8474391937256,891.4365470886231,229.9605417251587,4.653651837507884,0.0,103.58087984720866,1.8916474535520443e-06,891.4407913208008,2022,2854000,28257627763.559002
2022-01-17,10.02692825681771,0.0051417107752408,63.409093608207016,-1.0618390116604726,-0.6135080794169303,10.101207655821664,,Algeirs,0.012095691744859,282.4185696919759,0.0033000871005545,1.0568261889313629e-07,7.187385909901422e-06,0.0,9.304216693332516e-06,660.9756037394205,-73.73636856079102,-9.50024488369624,21.29584199587504,22.948849701881407,0.0,4.805089697431282e-09,0.0,282.4185696919759,890.390400950114,229.41481291453044,4.636251552899679,0.0,108.4799386660258,2.011148746324428e-06,890.3937423706054,2022,2854000,28223683297.181847
2022-01-18,11.088339083274414,0.0049571949534215,56.154603522008,-0.5534178970892325,-0.9011163504420376,13.683637690542746,,Algeirs,0.0176727195813631,282.92869338989254,0.0014025857381056,1.1923790825078363e-08,8.993171756325559e-06,0.0,1.1232006181671748e-05,660.4564297993977,-79.96385396321614,-4.82233507235845,7.636693815390269,27.703742392857876,0.0,0.0,0.0,282.92869338989254,889.2216262817382,228.76517988840732,4.600292068719863,0.0,110.48376092910767,2.2269105376911584e-06,889.2230232238769,2022,2854000,28185729544.67982
2022-01-19,10.218799206873074,0.0037210907483594,45.270639869070095,-0.352345092879668,-1.1388248449898966,10.557666141408657,,Algeirs,0.0128404554561711,282.99373321533204,0.0007374035325483419,3.3836174926730558e-09,8.670992959499321e-06,0.0,1.1127173089183391e-05,659.9113723754882,-78.71766192118328,-6.528085684776306,13.219056061903636,27.445174113909403,0.0,0.0,0.0,282.99373321533204,887.8885307312011,227.97714818318684,4.575292025009791,0.0,112.85330349604288,2.452796100745521e-06,887.8892486572265,2022,2854000,28142489669.482082
